dia,fecha,tema,fb,ig,hashtags,cta,url_imagen
25,2026-09-20,Acueductos veredales: por qué se construyen y a los tres años no funcionan,"Es una historia que se repite en todo el país. Se construye el acueducto veredal, se inaugura, y tres años después está fuera de servicio.

Casi nunca falla la obra. Falla lo que no se diseñó:

NO SE DEFINIÓ QUIÉN OPERA. Sin una organización comunitaria legalmente constituida —junta administradora, asociación de usuarios— no hay responsable. Y lo que es de todos no es de nadie.

NO HAY TARIFA. Un sistema tiene costos: cloro, energía si hay bombeo, reposición de accesorios, un fontanero. Si nadie paga nada, esos costos no se cubren. El agua gratis se acaba rápido.

NADIE FUE CAPACITADO. La dosificación de cloro, la operación de válvulas, el lavado de tanques y el mantenimiento preventivo requieren alguien entrenado. No basta con entregar un manual.

SE DISEÑÓ PARA UNA POBLACIÓN QUE NO ERA. Proyecciones optimistas, sistemas sobredimensionados que operan fuera de su rango eficiente, o subdimensionados que no alcanzan.

NO SE LEGALIZÓ LA CAPTACIÓN. Sin concesión de aguas, el sistema nace ilegal.

NO SE ASEGURÓ EL PREDIO NI LAS SERVIDUMBRES. Cambia el dueño del predio de la captación y se acabó el acueducto.

La lección: un acueducto rural es 40% obra y 60% institucionalidad. El componente social y organizativo no es un anexo del proyecto para cumplir un requisito. Es la mitad del proyecto.

Un sistema bien construido sin organización dura tres años. Uno modesto con organización sólida dura treinta.","Se construye el acueducto veredal, se inaugura, y a los 3 años está fuera de servicio.

Casi nunca falla la obra. Falla lo que no se diseñó:

· Nadie definió quién opera (sin junta legalmente constituida no hay responsable)
· No hay tarifa — y el cloro, la energía y el fontanero cuestan
· Nadie fue capacitado
· Se diseñó para una población que no era
· No se tramitó la concesión de aguas
· No se aseguraron predio ni servidumbres

Un acueducto rural es 40% obra y 60% institucionalidad.

Un sistema bien construido sin organización dura 3 años. Uno modesto con organización sólida dura 30.",#SOSING #Valledupar #Cesar #AguaPotable #Saneamiento #IngenieriaSanitaria #AguaParaTodos #RecursoHidrico,,https://raw.githubusercontent.com/Yair48/sosing-social/main/sosing_dia_25.png
26,2026-09-21,Seguridad en campo: lo que no se negocia,"Trabajar en campo en el Cesar significa sol directo, temperaturas por encima de 35 °C, terreno irregular, fauna y a veces cauces con corriente.

En SOSING hay cosas que no se negocian, ni por cronograma ni por cliente:

· Nadie entra a un cauce solo. Nunca.
· Hidratación programada, no ""cuando dé sed"". A 38 °C la sed llega tarde.
· EPP completo según la actividad: casco, botas, chaleco, protección solar, guantes.
· Se avisa el punto de trabajo y la hora estimada de salida a la oficina. Si no hay reporte, se activa el protocolo.
· Ninguna medición vale un accidente. Si las condiciones cambian, se suspende y se vuelve otro día.
· Botiquín en la camioneta y al menos una persona del equipo con primeros auxilios.

Esto no es un capítulo del SG-SST para mostrar en una auditoría. Es la razón por la que la gente que sale a las 4:30 de la mañana vuelve a su casa.

Un cronograma se recupera. Una persona no.","Campo en el Cesar: sol directo, más de 35 °C, terreno irregular, cauces con corriente.

Lo que no se negocia. Ni por cronograma ni por cliente:

· Nadie entra a un cauce solo. Nunca.
· Hidratación programada, no ""cuando dé sed""
· EPP completo según la actividad
· Se reporta punto de trabajo y hora de salida
· Si las condiciones cambian, se suspende
· Botiquín y primeros auxilios en el equipo

No es un capítulo del SG-SST para la auditoría.

Un cronograma se recupera. Una persona no.",#SOSING #Valledupar #Cesar #EquipoSOSING #IngenieriaColombia #TalentoDelCesar #SeguridadYSalud #OrgulloVallenato,,https://raw.githubusercontent.com/Yair48/sosing-social/main/sosing_dia_26.png
27,2026-09-22,SECOP II: cinco errores que anulan una oferta buena,"Ofertas técnicamente ganadoras que se pierden por operación de plataforma. Pasa más de lo que se cree.

1. PRESENTAR SOBRE LA HORA. SECOP II cierra automáticamente. No hay prórroga, no hay ""estaba subiendo"", no hay llamada que valga. Si el reloj de la plataforma marca la hora, se acabó. Regla interna nuestra: la oferta se termina de cargar mínimo 4 horas antes del cierre. Los últimos minutos son para verificar, no para subir.

2. CARGAR EN EL SOBRE EQUIVOCADO. Documentos económicos en el sobre técnico es causal de rechazo inmediato en procesos de dos sobres. Y no es subsanable.

3. NO REVISAR ADENDAS. Las adendas modifican el pliego, a veces en los últimos días, a veces cambiando requisitos habilitantes. Hay que revisar el proceso todos los días hasta el cierre. Todos.

4. FIRMAS Y VIGENCIAS VENCIDAS. Certificado de existencia y representación con más de 30 días, RUP desactualizado, garantía de seriedad mal expedida —beneficiario equivocado, vigencia corta, amparo insuficiente—. Detalles administrativos que tumban ofertas técnicamente superiores.

5. NO USAR EL DERECHO A OBSERVACIONES. El periodo de observaciones al proyecto de pliego es el único momento en que se puede pedir corrección de requisitos desproporcionados o direccionados. Renunciar a él es renunciar a competir en condiciones justas y después reclamar cuando ya no hay nada que hacer.

La contratación pública premia la disciplina administrativa tanto como la calidad técnica. Es incómodo, pero es así.","Ofertas técnicamente ganadoras que se pierden por operación de plataforma:

1. Presentar sobre la hora — SECOP II cierra automático. Nuestra regla: cargado 4 horas antes.
2. Cargar en el sobre equivocado — económico en el técnico = rechazo. No subsanable.
3. No revisar adendas — modifican el pliego, a veces en los últimos días
4. Vigencias vencidas — certificado con más de 30 días, RUP viejo, garantía mal expedida
5. No usar el derecho a observaciones — el único momento para pedir corrección de requisitos direccionados

La contratación pública premia la disciplina administrativa tanto como la calidad técnica.",#SOSING #Valledupar #Cesar #ContratacionPublica #SECOPII #Licitaciones #Consorcio #RUP #AlianzasEstrategicas,,https://raw.githubusercontent.com/Yair48/sosing-social/main/sosing_dia_27.png
28,2026-09-23,Bosque seco tropical: el ecosistema más amenazado de Colombia,"De todo el bosque seco tropical que alguna vez cubrió el Caribe colombiano y los valles interandinos, queda una fracción mínima. Es el ecosistema más transformado del país — muy por delante de la Amazonía en proporción de pérdida.

El Cesar tiene una parte importante de lo que sobrevive.

Por qué se perdió tanto: el bosque seco crece en tierras planas, fértiles y de fácil acceso. Exactamente las tierras que sirven para ganadería y agricultura. La Amazonía se salvó por inaccesible; el bosque seco fue lo primero que se tumbó.

Por qué importa que quede:

· Es un ecosistema estacional, adaptado a meses sin lluvia. Muchos árboles pierden las hojas para sobrevivir la seca — y con las primeras lluvias reverdecen en cuestión de días.
· Tiene alta proporción de especies endémicas, que no existen en ningún otro lugar.
· Es una barrera contra la desertificación, un proceso muy real en el Caribe colombiano y especialmente en La Guajira.
· Regula el microclima local. Donde se pierde, la temperatura sube de forma medible.

Especies típicas del bosque seco del Cesar: caracolí, ceiba bonga, guayacán, roble, trupillo, dividivi, olla de mono.

Restaurar bosque seco es difícil precisamente por lo que lo hace especial: las plántulas tienen que sobrevivir meses de sequía en su primer año. No basta con sembrar. Hay que sostener.","El bosque seco tropical es el ecosistema más transformado de Colombia. Muy por delante de la Amazonía en proporción de pérdida.

¿Por qué? Crece en tierras planas, fértiles y accesibles. Exactamente las que sirven para ganadería.

La Amazonía se salvó por inaccesible. El bosque seco fue lo primero que se tumbó.

Por qué importa lo que queda:
· Alta proporción de especies endémicas
· Barrera contra la desertificación
· Regula el microclima — donde se pierde, la temperatura sube de forma medible

Restaurarlo es difícil: las plántulas deben sobrevivir meses de sequía en su primer año.

No basta con sembrar. Hay que sostener.",#SOSING #Valledupar #Cesar #SierraNevada #MedioAmbiente #Caribe #Colombia #Biodiversidad,,https://raw.githubusercontent.com/Yair48/sosing-social/main/sosing_dia_28.png
29,2026-09-24,Aprovechamiento forestal: qué pasa si se tala sin permiso en Colombia,"Talar sin permiso no es una infracción menor. Es de las que escalan más rápido.

Todo aprovechamiento forestal requiere autorización previa de la autoridad ambiental. Lo regula el Decreto 1076 de 2015. Y mover la madera exige salvoconducto: sin él el producto se decomisa en la vía, así el aprovechamiento haya sido legal.

Lo que ocurre cuando no hay permiso, bajo la Ley 1333 de 2009:

· Medidas preventivas de aplicación inmediata: suspensión de la actividad y decomiso del producto y de los equipos. No esperan al fallo.
· Proceso sancionatorio, con multas que pueden llegar hasta 5.000 SMMLV.
· La carga de la prueba está invertida: se presume la culpa o el dolo del infractor y le corresponde a usted desvirtuarla.
· Y encima, medidas de compensación: restaurar lo afectado, que cuesta más que el trámite.

Si la especie estaba en veda, el asunto deja de ser solo administrativo.

El trámite ordinario exige inventario forestal, identificación taxonómica correcta, cálculo de volumen y propuesta de compensación. Toma tiempo. Mucho menos del que toma un sancionatorio.","Talar sin permiso no es una infracción menor.

Todo aprovechamiento forestal requiere autorización previa (Decreto 1076 de 2015). Y mover la madera exige salvoconducto: sin él, decomiso en la vía.

Lo que pasa bajo la Ley 1333 de 2009:
· Suspensión y decomiso preventivo, de aplicación inmediata
· Multas de hasta 5.000 SMMLV
· Se presume la culpa del infractor: usted tiene que desvirtuarla
· Y encima, compensación: restaurar lo afectado

Si la especie estaba en veda, el asunto deja de ser solo administrativo.

El trámite toma tiempo. Mucho menos que un sancionatorio.",#SOSING #Valledupar #Cesar #NormativaAmbiental #CORPOCESAR #LicenciaAmbiental #GestionAmbiental #IngenieriaAmbiental,¿Va a intervenir cobertura vegetal? Escríbenos antes: +57 311 660 8217,https://raw.githubusercontent.com/Yair48/sosing-social/main/sosing_dia_29.png
30,2026-09-25,Monitoreo de calidad de agua: qué parámetros exige la norma y por qué,"No existe una lista única de parámetros de calidad del agua. Existen tres, y confundirlas es el error que más muestras desperdicia.

1. CONSUMO HUMANO — Resolución 2115 de 2007. Color aparente, turbiedad, pH, dureza, hierro, nitritos, cloro residual libre, coliformes totales y E. coli. De ahí sale el IRCA.

2. VERTIMIENTOS — Resolución 0631 de 2015. DBO5, DQO, sólidos suspendidos y sedimentables, grasas y aceites, pH, temperatura, y según la actividad, nutrientes, metales o hidrocarburos. La lista depende del sector económico.

3. CUERPO RECEPTOR. Oxígeno disuelto, conductividad, nutrientes, coliformes, sólidos. Aquí no se compara contra un límite de descarga: se evalúa el río antes y después del punto.

Un detalle que define la validez del dato: pH, temperatura, oxígeno disuelto y conductividad se miden EN SITIO. Cambian en el trayecto al laboratorio, y verlos reportados como resultado de laboratorio delata un muestreo mal hecho.

Primero se define qué decisión se va a tomar con el resultado. Después se escoge la lista.","No hay una sola lista de parámetros de calidad del agua. Hay tres, y confundirlas desperdicia muestras.

CONSUMO HUMANO (Res. 2115 de 2007): color, turbiedad, pH, dureza, hierro, nitritos, cloro residual, coliformes y E. coli. De ahí sale el IRCA.

VERTIMIENTOS (Res. 0631 de 2015): DBO5, DQO, SST, sedimentables, grasas y aceites… y lo que agregue su sector económico.

CUERPO RECEPTOR: oxígeno disuelto, conductividad, nutrientes. Aquí se compara el río antes y después, no contra un límite.

Y un detalle que valida o invalida el dato: pH, temperatura, OD y conductividad se miden EN SITIO. En el trayecto al laboratorio cambian.",#SOSING #Valledupar #Cesar #IngenieriaAmbiental #TrabajoDeCampo #ConsultoriaAmbiental #IngenieriaColombia #Ingenieria,,https://raw.githubusercontent.com/Yair48/sosing-social/main/sosing_dia_30.png
31,2026-09-26,Temporada de lluvias: cómo se identifican los puntos críticos de inundación,"Un punto crítico de inundación no se identifica preguntando dónde se inundó el año pasado. Eso es el insumo, no el método.

1. HISTÓRICO. Eventos registrados por el consejo municipal, bomberos, defensa civil y prensa local, con fecha, sitio y afectación.

2. TERRENO. Modelo digital de elevación y cartografía para ubicar zonas bajas, paleocauces y drenajes naturales que la ciudad se tragó.

3. RECORRIDO CON LA COMUNIDAD. Los vecinos señalan la marca del agua en la pared. Esa marca es un dato: se georreferencia y se le toma cota.

4. INVENTARIO DE ESTRUCTURAS. Alcantarillas, box culvert, puentes y sumideros. Se mide la sección real y se contrasta con el caudal que debería pasar. Casi siempre el punto crítico es una estructura subdimensionada o taponada.

5. EXPOSICIÓN. Cuántas viviendas, qué equipamientos y qué vías quedan aisladas. Sin esto no hay cómo priorizar.

El producto no es un mapa bonito. Es una ficha por punto: coordenadas, causa, medida, costo y responsable.

Un punto crítico sin causa identificada no se interviene. Solo se lamenta cada invierno.","Un punto crítico de inundación no se identifica preguntando dónde se inundó el año pasado. Eso es el insumo, no el método.

1. Histórico de eventos con fecha, sitio y afectación
2. Modelo de elevación: zonas bajas, paleocauces, drenajes que la ciudad se tragó
3. Recorrido con la comunidad — la marca del agua en la pared es un dato: se georreferencia y se le toma cota
4. Inventario de alcantarillas y sumideros: sección real contra el caudal que debería pasar
5. Exposición: viviendas, equipamientos, vías que quedan aisladas

El producto no es un mapa bonito. Es una ficha por punto: causa, medida, costo y responsable.

Sin causa identificada, el punto solo se lamenta cada invierno.",#SOSING #Valledupar #Cesar #GestionDelRiesgo #Ley1523 #GestionDelRiesgoDeDesastres #ResilienciaTerritorial #Prevencion,,https://raw.githubusercontent.com/Yair48/sosing-social/main/sosing_dia_31.png
32,2026-09-27,Micromedición: por qué los prestadores pierden plata sin darse cuenta,"Un prestador puede entregar el agua y facturar bien… menos de lo que entrega. La fuga no está en la tubería: está en el medidor.

La Ley 142 de 1994 dejó la medición del consumo como regla general para facturar. Pero un parque de medidores se degrada en una sola dirección: los medidores viejos SUBREGISTRAN. Casi nunca cobran de más.

Por qué pasa:

· Desgaste mecánico. El medidor pierde sensibilidad a caudales bajos —goteos, llenado nocturno de tanques— y ese consumo no se contabiliza.
· Medidores sobredimensionados para el consumo real de la vivienda: no arrancan con caudales pequeños.
· Suscriptores sin medidor a los que se les factura consumo promedio, que suele quedar por debajo del real.
· Catastro de usuarios desactualizado: predios conectados que no están en la base de datos.

Cómo se aborda: muestreo estadístico del parque por edad y marca, banco de pruebas para levantar la curva de error, y reposición priorizada por lo que cada grupo deja de registrar.

Cambiar medidores a ciegas es caro. Con la curva de error en la mano, se paga solo.","Un prestador puede facturar bien… menos de lo que entrega. La fuga está en el medidor.

Los medidores viejos SUBREGISTRAN. Casi nunca cobran de más.

Por qué:
· Pierden sensibilidad a caudales bajos: goteos, llenado nocturno de tanques
· Sobredimensionados: no arrancan con consumos pequeños
· Instalación sin filtro, mal posicionada o con aire en la línea
· Usuarios sin medidor facturados por promedio
· Catastro desactualizado: predios conectados que no están en la base

Qué se hace: muestreo del parque por edad y marca, banco de pruebas para levantar la curva de error, y reposición priorizada.

Cambiar medidores a ciegas es caro. Con la curva de error en la mano, se paga solo.",#SOSING #Valledupar #Cesar #AguaPotable #Saneamiento #IngenieriaSanitaria #AguaParaTodos #RecursoHidrico,¿Diagnóstico de pérdidas para su prestador? comercial@sosinggroup.com,https://raw.githubusercontent.com/Yair48/sosing-social/main/sosing_dia_32.png
33,2026-09-28,Cómo armamos el equipo técnico para una licitación,"El equipo de una propuesta no se arma con las hojas de vida que uno tenga a la mano. Se arma leyendo el pliego al revés.

1. SE EXTRAE LA MATRIZ DE PERSONAL. Cargo por cargo: profesión, posgrado si aplica, experiencia general, experiencia específica y porcentaje de dedicación. Se transcribe literal. No se interpreta.

2. SE VERIFICA LA HABILITACIÓN PROFESIONAL. Matrícula vigente y sin sanciones. Un profesional con matrícula en trámite no habilita a nadie.

3. SE REVISA CADA CERTIFICACIÓN. Las fechas deben permitir el cálculo exacto de los años. Una certificación sin fecha de inicio no sirve para contar tiempo.

4. SE CRUZA LA DEDICACIÓN CONTRA EL CRONOGRAMA. Si alguien está comprometido al 100% en un contrato en ejecución, no puede estar al 100% en la propuesta. Se verifica antes de firmar la carta de compromiso, no después.

5. SE FIRMA UN COMPROMISO REAL. La persona sabe a qué se compromete, en qué fechas y en qué municipio.

El equipo de papel se detecta rápido en ejecución. Y la interventoría también lo detecta.","El equipo de una propuesta no se arma con las hojas de vida que uno tenga a la mano. Se arma leyendo el pliego al revés.

1. Extraer la matriz de personal literal: profesión, posgrado, experiencia general, específica y % de dedicación
2. Verificar matrícula profesional vigente y sin sanciones
3. Revisar cada certificación — una sin fecha de inicio no sirve para contar años
4. Cruzar dedicación contra cronograma: nadie está al 100% en dos contratos a la vez
5. Firmar compromiso real: la persona sabe fechas y municipio

El equipo de papel se detecta rápido en ejecución. La interventoría también lo detecta.",#SOSING #Valledupar #Cesar #EquipoSOSING #IngenieriaColombia #TalentoDelCesar #SeguridadYSalud #OrgulloVallenato,,https://raw.githubusercontent.com/Yair48/sosing-social/main/sosing_dia_33.png
34,2026-09-29,Experiencia acreditable: qué certificación sirve y cuál no,"Muchas empresas tienen la experiencia y no la pueden acreditar. El contrato existió, se ejecutó bien, y el papel no sirve.

UNA CERTIFICACIÓN SIRVE SI TRAE:
· Nombre y NIT del contratante
· Número y objeto del contrato, transcrito completo
· Fechas de inicio y de terminación
· Valor ejecutado, con las adiciones discriminadas
· Porcentaje de participación, si se ejecutó en consorcio o unión temporal
· Firma de quien tiene competencia para expedirla

NO SIRVE:
· La autocertificación. Nadie certifica su propia experiencia.
· El contrato solo, si el pliego exige certificación del contratante o acta de liquidación.
· Un contrato en ejecución, cuando el pliego exige terminado o liquidado.
· Un objeto que no corresponde a los códigos UNSPSC exigidos.
· La experiencia de un socio o de un profesional presentada como experiencia de la empresa.

Y el filtro que se olvida: la experiencia debe estar inscrita en el RUP con los códigos correctos. Bien certificada y mal clasificada, no cuenta.

Nuestro RUP tiene 42 contratos certificados. Cada uno pasó por esa revisión.","Muchas empresas tienen la experiencia y no la pueden acreditar.

SIRVE una certificación con: contratante y NIT, número y objeto completo, fechas de inicio y terminación, valor ejecutado, % de participación si fue consorcio o UT, y firma competente.

NO SIRVE:
· La autocertificación
· El contrato solo, si piden certificación o acta
· Un contrato aún en ejecución si exigen liquidado
· Un objeto que no corresponde a los códigos UNSPSC del pliego
· La experiencia de un socio presentada como de la empresa

Y el filtro que se olvida: debe estar inscrita en el RUP con los códigos correctos. Bien certificada y mal clasificada, no cuenta.",#SOSING #Valledupar #Cesar #ContratacionPublica #SECOPII #Licitaciones #Consorcio #RUP #AlianzasEstrategicas,"¿Buscas socio con experiencia acreditada en ambiental, forestal o riesgo? Escríbenos.",https://raw.githubusercontent.com/Yair48/sosing-social/main/sosing_dia_34.png
35,2026-09-30,Serranía del Perijá: la frontera olvidada del Cesar,"Al oriente del valle del Cesar se levanta la Serranía del Perijá, el ramal que marca el límite con Venezuela. Sube del piedemonte seco hasta superar los 3.000 metros: bosque seco, bosque húmedo, bosque de niebla y páramo.

Tiene aves endémicas que no existen en ningún otro lugar del mundo.

Y tiene una función que se menciona poco: de su vertiente occidental bajan los afluentes de la margen derecha del río Cesar —Manaure, Casacará y otros— que sostienen buena parte del abastecimiento y el riego del departamento.

Desde Valledupar es fácil mirar siempre hacia la Sierra Nevada. Pero el Perijá es la otra mitad del sistema hídrico del valle, y está en desventaja en algo muy concreto: información. Series cortas o interrumpidas, pocas estaciones activas, cartografía a escalas gruesas.

La consecuencia es práctica: cuando un municipio del piedemonte necesita justificar un caudal o evaluar una amenaza por avenida torrencial, no hay datos, y termina extrapolando de cuencas que no se le parecen.

La deuda con el Perijá no es solo de conservación. Es de instrumentación y de estudio.","Al oriente del valle del Cesar está la Serranía del Perijá, el ramal que marca el límite con Venezuela.

Sube del piedemonte seco a más de 3.000 metros: bosque seco, bosque húmedo, bosque de niebla y páramo. Tiene aves endémicas que no existen en ningún otro lugar del mundo.

Y de su vertiente occidental bajan los afluentes de la margen derecha del río Cesar.

Desde Valledupar es fácil mirar siempre hacia la Sierra Nevada. Pero el Perijá es la otra mitad del sistema hídrico del valle, y está en desventaja en algo concreto: información. Pocas estaciones, series cortas, cartografía gruesa.

La deuda con el Perijá no es solo de conservación. Es de instrumentación.",#SOSING #Valledupar #Cesar #SierraNevada #MedioAmbiente #Caribe #Colombia #Biodiversidad,,https://raw.githubusercontent.com/Yair48/sosing-social/main/sosing_dia_35.png
36,2026-10-01,Ocupación de cauce: el permiso que frena obras a mitad de camino,"Es el permiso que más obras deja quietas, y casi siempre por la misma razón: se pensó que la licencia de construcción del municipio bastaba.

No basta. Construir cualquier obra que ocupe el cauce de una corriente o de un depósito de agua requiere permiso de ocupación de cauce ante la autoridad ambiental. Lo regula el Decreto 1076 de 2015.

Qué cuenta como ocupación de cauce, más allá del puente evidente:
· Box culvert, pontones y alcantarillas
· Bocatomas y estructuras de captación
· Muros, espolones, enrocados y obras de protección de orilla
· Cruces subfluviales de tubería y de redes
· Dragados, canalizaciones y rectificaciones
· Llenos y jarillones dentro de la ronda

Qué exige el trámite: planos y memorias de cálculo firmadas, estudio hidrológico e hidráulico con el caudal de diseño y su período de retorno justificado, análisis de socavación y manejo ambiental de la etapa constructiva.

Dónde se rompe el cronograma: el permiso se tramita después del acta de inicio, porque nadie lo previó en la estructuración. La obra arranca, llega el trámite, y el frente para.","El permiso que más obras deja quietas. Y casi siempre por lo mismo: se creyó que la licencia de construcción del municipio bastaba.

No basta. Ocupar el cauce requiere permiso de la autoridad ambiental (Decreto 1076 de 2015).

Cuenta como ocupación de cauce:
· Box culvert, pontones, alcantarillas
· Bocatomas
· Muros, espolones, enrocados
· Cruces subfluviales de tubería
· Dragados y canalizaciones
· Llenos y jarillones en la ronda

Exige planos, memorias, estudio hidrológico e hidráulico con período de retorno justificado y análisis de socavación.

El cronograma se rompe cuando el trámite arranca después del acta de inicio. La obra empieza, llega el permiso, y el frente para.",#SOSING #Valledupar #Cesar #NormativaAmbiental #CORPOCESAR #LicenciaAmbiental #GestionAmbiental #IngenieriaAmbiental,,https://raw.githubusercontent.com/Yair48/sosing-social/main/sosing_dia_36.png
37,2026-10-02,Estudios hidrológicos e hidráulicos: para qué sirven de verdad,"Se piden como requisito. Sirven para definir el tamaño de una obra y la profundidad a la que hay que cimentarla.

EL HIDROLÓGICO responde cuánta agua puede llegar. Se delimita la cuenca, se procesan las series de las estaciones representativas y, con análisis de frecuencia o modelos lluvia-escorrentía, se estima el caudal máximo asociado a un período de retorno.

EL HIDRÁULICO responde qué hace esa agua. Toma el caudal de diseño y calcula niveles, velocidades, remanso y socavación.

De ahí salen decisiones que se pagan en concreto:
· Luz y altura de un puente o de una alcantarilla
· Cota de rasante y borde libre
· Profundidad de cimentación por socavación
· Cota mínima de una vivienda o de una bocatoma

El período de retorno no se copia de otro estudio: se escoge según las consecuencias de que la obra falle, y esa escogencia se sustenta.

Errores que se repiten: usar una estación que no representa la cuenca, series demasiado cortas e ignorar el cambio de uso del suelo aguas arriba.

Un estudio mal hecho no se nota el día de la entrega. Se nota el día de la creciente.","Se piden como requisito. Sirven para definir el tamaño de una obra y a qué profundidad cimentarla.

HIDROLÓGICO: ¿cuánta agua puede llegar? Cuenca, series de las estaciones, análisis de frecuencia → caudal de diseño para un período de retorno.

HIDRÁULICO: ¿qué hace esa agua? Niveles, velocidades, remanso y socavación.

De ahí salen: luz del puente, cota de rasante, borde libre, profundidad de cimentación y obras de protección.

Errores que se repiten: estación no representativa, series muy cortas, ignorar el cambio de uso del suelo aguas arriba y olvidar que las estructuras se taponan con sedimento y basura.

No se nota el día de la entrega. Se nota el día de la creciente.",#SOSING #Valledupar #Cesar #IngenieriaAmbiental #TrabajoDeCampo #ConsultoriaAmbiental #IngenieriaColombia #Ingenieria,Estudios hidrológicos e hidráulicos: comercial@sosinggroup.com,https://raw.githubusercontent.com/Yair48/sosing-social/main/sosing_dia_37.png
38,2026-10-03,Erosión de riberas: por qué el río se lleva la orilla,"Una orilla no se cae de arriba hacia abajo. Se cae al revés.

El flujo socava el pie del talud, sobre todo en la curva exterior, donde la velocidad es mayor. Cuando el pie pierde soporte, el bloque de arriba queda en voladizo y colapsa por su propio peso. Uno llega, ve el talud partido en bloques y concluye que el problema está arriba. La causa está bajo el agua.

Qué acelera el proceso:
· Pérdida de la vegetación ribereña. Las raíces son refuerzo estructural del suelo.
· Extracción de material del lecho, que profundiza el cauce y descalza las orillas.

Qué funciona:
· Proteger el pie primero. Una obra que solo protege la parte alta del talud no resuelve nada.
· Bioingeniería donde las velocidades lo permiten: trinchos vivos, estacas de rebrote rápido, revegetalización de la franja de protección.
· Estructuras donde la energía es alta, siempre con diseño hidráulico.

Y la advertencia que casi nadie da: proteger un tramo sin analizar el corredor completo traslada el problema a la propiedad de al lado. La erosión no se elimina; se redistribuye.","Una orilla no se cae de arriba hacia abajo. Se cae al revés.

El flujo socava el PIE del talud —sobre todo en la curva exterior—, el bloque de arriba queda en voladizo y colapsa por su peso. Uno llega y cree que el problema está arriba. Está bajo el agua.

Qué lo acelera: pérdida de vegetación ribereña, ganado bajando siempre por el mismo punto, extracción de material del lecho, crecientes más rápidas por cambios en la cuenca.

Qué funciona: proteger el pie primero, bioingeniería donde las velocidades lo permiten, estructuras donde la energía es alta.

Y la advertencia: proteger un tramo sin mirar el corredor completo le traslada el problema al vecino.",#SOSING #Valledupar #Cesar #GestionDelRiesgo #Ley1523 #GestionDelRiesgoDeDesastres #ResilienciaTerritorial #Prevencion,,https://raw.githubusercontent.com/Yair48/sosing-social/main/sosing_dia_38.png
39,2026-10-04,PTAP: los errores de operación más comunes en municipios pequeños,"Una planta de potabilización bien diseñada puede entregar agua fuera de norma. No por la obra: por la operación.

DOSIFICAR SIN PRUEBA DE JARRAS. La dosis óptima de coagulante depende de la turbiedad, el pH y la alcalinidad del agua cruda, y las tres cambian entre verano e invierno.

NO MEDIR EL CAUDAL DE ENTRADA. No se puede dosificar en mg/L lo que no se mide en L/s. Sin macromedidor, toda la dosificación es aproximada.

LAVAR FILTROS POR HORARIO. El filtro se lava cuando la pérdida de carga o la turbiedad de salida lo indican, no cuando toca por rutina.

NO CONTROLAR EL CLORO EN LA RED. La Resolución 2115 de 2007 exige cloro residual libre entre 0,3 y 2,0 mg/L, y eso se verifica en el punto más alejado de la red, no a la salida de la planta. Ahí siempre da bien.

TANQUES SIN LAVADO PROGRAMADO. Se potabiliza y se vuelve a contaminar en el almacenamiento.

Y el que sostiene a todos: OPERAR SIN BITÁCORA. Sin registro diario de turbiedad, pH, dosis, caudal y cloro no hay cómo saber qué pasó ayer.

Nada de esto cuesta obra. Cuesta método y un operador entrenado.","Una PTAP bien diseñada puede entregar agua fuera de norma. No por la obra: por la operación.

· Dosificar sin prueba de jarras. La dosis depende de turbiedad, pH y alcalinidad, y eso cambia entre verano e invierno.
· No medir el caudal de entrada. No se dosifica en mg/L lo que no se mide en L/s.
· Lavar filtros por horario y no por pérdida de carga.
· Medir cloro solo a la salida de la planta. Se verifica en el punto más alejado de la red: 0,3 a 2,0 mg/L (Res. 2115 de 2007).
· Tanques sin lavado programado.
· Y el que sostiene a todos: operar sin bitácora.

Nada de esto cuesta obra. Cuesta método y un operador entrenado.",#SOSING #Valledupar #Cesar #AguaPotable #Saneamiento #IngenieriaSanitaria #AguaParaTodos #RecursoHidrico,,https://raw.githubusercontent.com/Yair48/sosing-social/main/sosing_dia_39.png
